codigo_raza;codigo_pais;registro;id_variedad
CANI;FCA;49742;10
CANI;FCA;62043;10
CANI;FCA;61755;10
CANI;FCA;61622;10
CANI;FCA;55315;10
CANI;FCA;60903;10
CANI;FCA;55755;10
CANI;FCA;52295;10
CANI;FCA;51417;10
CANI;FCA;50804;10
CANI;FCA;30195;10
CANI;FCA;50076;10
CANI;FCA;50006;10
CANI;FCA;47243;10
CANI;FCA;45514;10
CANI;FCA;43928;10
CANI;FCA;41768;10
CANI;FCA;40526;10
CANI;FCA;37641;10
CANI;FCA;34494;10
CANI;FCA;32689;10
CANI;FCA;25746;10
CANI;FCA;28131;10
CANI;FCA;27273;10
CANI;FCA;26407;10
CANI;FCA;24054;10
CANI;FCA;24513;10
CANI;FCA;24082;10
CANI;FCA;20325;10
CANI;FCA;20088;10
CANI;FCA;15618;10
CANI;FCA;12713;10
CANI;FCA;29887;10
CANI;FCA;29310;10
CANI;FCA;70011;10
CANI;FCA;65678;10
CANI;FCA;50552;10
CANI;FCA;55471;10
CANI;FCA;58626;10
CANI;FCA;63207;10
CANI;FCA;59395;10
CANI;FCA;58443;10
CANI;FCA;58220;10
CANI;FCA;47913;10
CANI;FCA;57686;10
CANI;FCA;54169;10
CANI;FCA;53830;10
CANI;FCA;49603;10
CANI;FCA;41929;10
CANI;FCA;57885;10
CANI;FCA;47399;10
CANI;FCA;30687;10
CANI;FCA;46382;10
CANI;FCA;45519;10
CANI;FCA;42873;10
CANI;FCA;42830;10
CANI;FCA;41204;10
CANI;FCA;39146;10
CANI;FCA;38711;10
CANI;FCA;35889;10
CANI;FCA;27888;10
CANI;FCA;29007;10
CANI;FCA;29105;10
CANI;FCA;28659;10
CANI;FCA;23728;10
CANI;FCA;21238;10
CANI;FCA;7052;10
CANI;FCA;20622;10
CANI;FCA;18060;10
CANI;FCA;11159;10
CANI;FCA;12006;10
CANI;FCA;12711;10
CANI;FCA;53519;10
CANI;FCA;72802;10
CANI;FCA;72340;10
CANI;FCA;70477;10
CANI;FCA;67648;10
CANI;FCA;69210;10
CANI;FCA;66896;10
CANI;FCA;65158;10
CANI;FCA;64236;10
CANI;FCA;41487;10
CANI;FCA;21353;10
CANI;FCA;54814;10
CANI;FCA;61005;10
CANI;FCA;61581;10
CANI;FCA;54222;10
CANI;FCA;40956;10
CANI;FCA;52153;10
CANI;FCA;51496;10
CANI;FCA;51410;10
CANI;FCA;49384;10
CANI;FCA;48122;10
CANI;FCA;45882;10
CANI;FCA;41781;10
CANI;FCA;32783;10
CANI;FCA;40563;10
CANI;FCA;38407;10
CANI;FCA;35827;10
CANI;FCA;34827;10
CANI;FCA;33249;10
CANI;FCA;31593;10
CANI;FCA;30549;10
CANI;FCA;30284;10
CANI;FCA;29806;10
CANI;FCA;29753;10
CANI;FCA;29222;10
CANI;FCA;28173;10
CANI;FCA;27423;10
CANI;FCA;26074;10
CANI;FCA;22917;10
CANI;FCA;21326;10
CANI;FCA;13276;10
CANI;FCA;18053;10
CANI;FCA;67455;10
CANI;FCA;50069;10
CANI;FCA;71151;10
CANI;FCA;61183;10
CANI;FCA;69622;10
CANI;FCA;68768;10
CANI;FCA;64984;10
CANI;FCA;53206;10
CANI;FCA;63930;10
CANI;FCA;63431;10
CANI;FCA;46765;10
CANI;FCA;60438;10
CANI;FCA;57807;10
CANI;FCA;57340;10
CANI;FCA;21190;10
CANI;FCA;55842;10
CANI;FCA;55393;10
CANI;FCA;54166;10
CANI;FCA;12908;10
CANI;FCA;50105;10
CANI;FCA;53180;10
CANI;FCA;52590;10
CANI;FCA;51766;10
CANI;FCA;50775;10
CANI;FCA;48416;10
CANI;FCA;48309;10
