id_variedad;id_raza;variedad;opcion;codigo_variedad;codigo_raza
11;75;"";t;TOY*GRI-LEO;CANI
12;75;"";t;TOY*OTR;CANI
1;75;"";t;GDE*MRN-BLA-NEG;CANI
4;75;"";t;MED*MRN-BLA-NEG;CANI
10;75;"";t;TOY*MRN-BLA-NEG;CANI
7;75;"";t;ENA*MRN-BLA-NEG;CANI
8;75;"";t;ENA*GRI-LEO;CANI
9;75;"";t;ENA*OTR;CANI
30;144;"";t;LEO*ATI;GRDA
31;144;"";t;NEG*ARL*MER;GRDA
53;296;"";t;LIS;POIB
54;296;"";t;DUR;POIB
2;75;"";t;GDE*GRI-LEO;CANI
3;75;"";t;GDE*OTROS;CANI
5;75;"";t;MED*GRI-LEO;CANI
6;75;"";t;MED*OTR;CANI
13;259;"";t;COR;PESI
14;259;"";t;LAR;PESI
15;217;"";t;GRO;OVBE
16;217;"";t;LAE;OVBE
17;217;"";t;MAL;OVBE
18;217;"";t;TER;OVBE
19;82;"";t;LAR;CHIH
20;82;"";t;COR;CHIH
21;99;"";t;STD*LAR;DACH
22;99;"";t;STD*COR;DACH
23;99;"";t;STD*DUR;DACH
24;99;"";t;MIN*LAR;DACH
25;99;"";t;MIN*COR;DACH
26;99;"";t;MIN*DUR;DACH
27;99;"";t;TEK*LAR;DACH
28;99;"";t;TEK*COR;DACH
29;99;"";t;TEK*DUR;DACH
32;144;"";t;AZU;GRDA
33;216;"";t;LAR;OVAL
34;216;"";t;COR;OVAL
35;111;"";t;WLF;DESP
36;111;"";t;GRN*BLA;DESP
37;111;"";t;GRN*PDO-NEG;DESP
38;111;"";t;MED*BLA;DESP
39;111;"";t;MED*ANA-GRI-OTR;DESP
40;111;"";t;MED*PDO-NEG;DESP
41;111;"";t;PEQ*BLA;DESP
42;111;"";t;PEQ*ANA-GRI-OTR;DESP
43;111;"";t;PEQ*PDO-NEG;DESP
44;111;"";t;ENA;DESP
45;128;"";t;PAP;ENCO
46;128;"";t;PHA;ENCO
47;281;"";t;LAR;PPHO
48;281;"";t;COR;PPHO
49;281;"";t;DUR;PPHO
50;284;"";t;GDE;PEPE
51;284;"";t;MED;PEPE
52;284;"";t;PEQ;PEPE
55;297;"";t;PEQ*LAR;POPO
56;297;"";t;PEQ*COR;POPO
57;297;"";t;MED*LAR;POPO
58;297;"";t;MED*COR;POPO
59;297;"";t;GDE*LAR;POPO
60;297;"";t;GDE*COR;POPO
61;307;"";t;BLA;PULI
62;307;"";t;NEG-OXI-LEO-GRI;PULI
64;352;"";t;SPI;SCGI
65;352;"";t;NPU;SCGI
66;352;"";t;NPL;SCGI
67;242;"";t;LAR;PPRU
68;242;"";t;COR;PPRU
69;354;"";t;SPI;SCST
70;354;"";t;NPU;SCST
71;346;"";t;BER;SSPE
72;346;"";t;JUR;SSPE
73;346;"";t;LUC;SSPE
74;346;"";t;SCZ;SSPE
75;349;"";t;LAR;SABE
76;349;"";t;COR;SABE
77;394;"";t;LAR;WEIM
78;394;"";t;COR;WEIM
79;401;"";t;MIN;XOLO
80;401;"";t;MED;XOLO
81;401;"";t;STD;XOLO
82;353;"";t;SPI;SCMI
83;353;"";t;NPU;SCMI
84;353;"";t;NPL;SCMI
85;353;"";t;BLA;SCMI
